[13:04:05] [LOGGING]	 STARTING LOGGING
[13:04:06] [INIT]	 ==========================================
[13:04:06] [INIT]	 S.A.R.A.H. => MICRO
[13:04:06] [INIT]	 ==========================================
[13:04:06] [INIT]	 Server: http://127.0.0.1:8080
[13:04:06] [INIT]	 Confidence: 0,65
[13:04:06] [INIT]	 ==========================================
[13:04:06] [INIT]	 Starting Server: http://192.168.1.151:8888/
[13:04:06] [INIT]	 Starting Server: http://127.0.0.1:8888/
[13:04:06] [WATCHER]	 Stop watching
[13:04:06] [GRAMMAR]	 Load file: time.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\macros\time.xml
[13:04:06] [GRAMMAR]	 Add to context list: time.xml
[13:04:06] [WATCHER]	 Watching directory: macros
[13:04:06] [GRAMMAR]	 Load file: jarvis.xml : D:\Dev\Dev-O.V.E.R\O.V.E.R\plugins\jarvis\jarvis.xml
[13:04:06] [GRAMMAR]	 Add to context list: jarvis.xml
[13:04:06] [WATCHER]	 Watching directory: plugins
[13:04:06] [WATCHER]	 Start watching
[13:04:06] [GRAMMAR]	 Context: default
[13:04:06] [GRAMMAR]	 Context: time.xml, jarvis.xml
[13:04:07] [GRAMMAR]	 File: Load Grammar to Engine
[13:04:07] [GRAMMAR]	 File: Load: time.xml Enabled: True
[13:04:07] [GRAMMAR]	 File: Load Grammar to Engine
[13:04:07] [GRAMMAR]	 File: Load: jarvis.xml Enabled: True
[13:04:07] [ENGINE - File]	 Init recognizer
[13:04:07] [ENGINE - File]	 AudioLevel: 0
[13:04:07] [ENGINE - File]	 MaxAlternates: 1
[13:04:07] [ENGINE - File]	 BabbleTimeout: 00:00:00
[13:04:07] [ENGINE - File]	 InitialSilenceTimeout: 00:00:00
[13:04:07] [ENGINE - File]	 EndSilenceTimeout: 00:00:00.1500000
[13:04:07] [ENGINE - File]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:04:07] [GRAMMAR]	 Default: Load Grammar to Engine
[13:04:07] [GRAMMAR]	 Default: Load: time.xml Enabled: True
[13:04:07] [GRAMMAR]	 Default: Load Grammar to Engine
[13:04:07] [GRAMMAR]	 Default: Load: jarvis.xml Enabled: True
[13:04:07] [ENGINE - Default]	 Init recognizer
[13:04:07] [ENGINE - Default]	 AudioLevel: 0
[13:04:08] [ENGINE - Default]	 MaxAlternates: 1
[13:04:08] [ENGINE - Default]	 BabbleTimeout: 00:00:00
[13:04:08] [ENGINE - Default]	 InitialSilenceTimeout: 00:00:00
[13:04:08] [ENGINE - Default]	 EndSilenceTimeout: 00:00:00.1500000
[13:04:08] [ENGINE - Default]	 EndSilenceTimeoutAmbiguous: 00:00:00.5000000
[13:04:08] [ENGINE - Default]	 Start listening
[13:04:08] [ENGINE]	 [Default] AudioFormatPcm channel: 1 AB/S: 32000 B/S: 16
[13:04:08] [ENGINE]	 [Default] level: 0 state: Stopped
